Membership No  Date Joined  Active  
    99668      2016-4-9     yes   
    84559      2017-2-11    no    
    76197      2016-7-10    yes   
    63794      2016-3-18    no    
    96212      2015-11-18   yes   
    14541      2015-4-11    no    
    51584      2015-2-15    no    
    87212      2016-2-21    yes   
    74009      2016-11-13   yes   
    36754      2016-8-16    no    
    40349      2017-10-4    yes   
    84198      2018-4-22    yes   
    52830      2020-8-25    yes   
    67859      2017-11-2    yes   
    89969      2018-3-19    yes   
    18737      2016-9-17    yes   
    34321      2018-6-23    no    
    71928      2019-12-24   no    
    17552      2019-7-17    yes   
    59259      2020-5-11    yes   
