Membership No  Date Joined  Active  
    58332      2018-9-16    yes   
    91343      2020-10-18   yes   
    68526      2016-7-11    yes   
    44926      2016-5-25    no    
    17839      2016-8-22    no    
    88146      2019-12-23   yes   
    30158      2019-7-23    yes   
    30517      2015-6-8     no    
    13975      2018-8-5     yes   
    29951      2017-11-20   yes   
    73194      2016-7-23    yes   
    70278      2015-12-13   yes   
    71236      2017-2-24    yes   
    92087      2015-12-2    no    
    87994      2015-3-7     no    
    74185      2019-6-8     no    
    11334      2016-10-2    no    
    14265      2018-7-22    no    
    72374      2017-11-3    yes   
    58936      2020-3-13    no    
